timestamp,downlink_rolled_mbps_3,uplink_rolled_mbps_3,downlink_rolled_mbps_4,uplink_rolled_mbps_4,downlink_rolled_mbps_2,uplink_rolled_mbps_2,sw_power_baseline,avg_power_baseline,nr_ssRsrp_avg,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nrStatus,nr_ssSinr_avg,provider,direction,radio_type_used,sw_power_rolled,avg_power_rolled,avg_power,sw_power,downlink_mbps,uplink_mbps,Throughput
1/24/21 13:56,0.653653333,63.608224,0.600896,62.340008,0.643968,69.600384,2289.440366,2827.808782,-92.1,-92,-92,-1,-92.1,CONNECTED,-1,TMobile,uplink,NSA+LTE,4630.83796,5169.206376,5169.2804,5038.8436,0.585312,68.990656,78.6
1/24/21 13:57,0.566176,63.588928,0.575496,64.243608,0.563472,63.72504,2325.252422,2780.668023,-92.9,-92,-92,2,-92.9,CONNECTED,1.9,TMobile,uplink,NSA+LTE,4666.650016,5122.065617,5121.763973,4417.5456,0.551616,64.571968,65
1/24/21 13:34,0.5928,68.385696,0.60632,68.95072,0.572624,68.234224,2233.766714,2816.41276,-92,-92,-92,1,-92,CONNECTED,1,TMobile,uplink,NSA+LTE,4676.90552,5259.551566,5260.40264,4738.776,0.520832,66.167008,90.2
1/24/21 13:34,0.485877333,65.16421333,0.520512,66.44852,0.4684,64.662816,2279.766234,2453.985126,-92,-92,-92,0,-92,CONNECTED,0,TMobile,uplink,NSA+LTE,4722.90504,4897.123932,4897.00894,4819.0688,0.470464,64.33408,58.7
1/24/21 13:34,0.619786667,69.03488,0.582456,67.85968,0.612688,68.661216,2172.496554,2560.34452,-92,-92,-92,0,-92,CONNECTED,0,TMobile,uplink,NSA+LTE,4615.63536,5003.483326,5004.00466,4464.88,0.623008,71.258272,86
1/25/21 19:58,103.5979973,0.279616,103.583342,0.296656,98.825824,0.250016,2419.512217,3040.919169,-91.1,-91,-91,-4,-91.1,CONNECTED,-4.9,TMobile,downlink,NSA+LTE,4776.784758,5398.19171,5397.81034,4612.16,88.983872,0.217216,93.3
1/25/21 19:58,99.264352,0.227018667,101.615208,0.240968,104.404592,0.23192,2394.396657,2575.303625,-92.8,-91,-91,-3,-92.8,CONNECTED,-3.1,TMobile,downlink,NSA+LTE,4751.669198,4932.576166,4933.4348,4768.4352,88.212544,0.208416,65
1/25/21 19:58,79.32103467,0.191914667,81.736744,0.19824,58.683232,0.16016,2368.669877,2935.192211,-91,-91,-91,-4,-91,CONNECTED,-4.1,TMobile,downlink,NSA+LTE,4725.942418,5292.464752,5293.20162,4340.0704,29.15392,0.111904,19.4
1/23/21 13:56,93.895264,0.386048,93.75308,0.402856,80.660656,0.314912,2315.912132,2923.322703,-91.9,-91,-91,-2,-91.9,CONNECTED,-2.4,TMobile,downlink,NSA+LTE,4665.164973,5272.575544,5272.17704,4600.7024,69.917728,0.292032,74.8
1/23/21 13:56,73.01169067,0.288288,84.849888,0.348296,63.815744,0.263536,2317.747322,2881.735251,-91,-91,-91,-3,-91,CONNECTED,-5.7,TMobile,downlink,NSA+LTE,4667.000163,5230.988092,5231.76172,4818.3184,57.71376,0.23504,55.3
1/23/21 13:56,63.753344,0.275253333,70.665904,0.290888,60.671152,0.266864,2295.498039,2700.128085,-91.3,-91,-91,-3,-91.3,CONNECTED,-3.1,TMobile,downlink,NSA+LTE,4644.75088,5049.380926,5049.87026,4368.8288,63.628544,0.298688,56.9
1/23/21 13:56,62.64992,0.26,64.466872,0.268008,65.118,0.27248,2261.692519,2484.177329,-93.7,-91,-91,-4,-93.7,CONNECTED,-4.2,TMobile,downlink,NSA+LTE,4610.94536,4833.43017,4832.19392,4299.4168,66.607456,0.246272,72.4
1/23/21 14:01,10.16312533,0.009984,7.622344,0.007488,15.227648,0.01384,1376.018709,1798.593359,-91.3,-91,-91,31,-91.3,CONNECTED,24,TMobile,downlink,NSA+LTE,3725.27155,4147.8462,4148.36568,3390.7951,0,0,0
1/24/21 18:07,0.317568,24.94496,0.383632,27.06648,0.187312,17.6376,2698.558581,2525.421145,-91.7,-91,-91,29,-91.7,CONNECTED,25.5,TMobile,uplink,NSA+LTE,5154.61722,4981.479784,4979.403561,4110.6107,0.20448,17.05056,13.6
1/24/21 18:08,0.323626667,21.83424,0.362136,23.11776,0.327152,22.35456,1726.803861,1762.921873,-91,-91,-91,23,-91,NOT_RESTRICTED,23,TMobile,uplink,NSA+LTE,4182.8625,4218.980512,4218.64346,4041.75,0.48256,28.46592,36.7
1/23/21 12:18,125.0341547,0.429866667,126.562816,0.455416,117.983728,0.383968,2335.501588,2837.374278,-91,-91,-91,-3,-91,CONNECTED,-3,TMobile,downlink,NSA+LTE,4719.4713,5221.34399,5221.71692,5014.611,110.697472,0.383136,81.3
1/23/21 12:18,88.214656,0.206709333,90.772056,0.218096,83.160688,0.192064,2003.260379,2538.93975,-91,-91,-91,0,-91,CONNECTED,0,TMobile,downlink,NSA+LTE,4387.230091,4922.909462,4923.10168,4150.0872,76.931552,0.180256,88.8
1/24/21 18:31,0.406645333,26.588384,0.396624,27.812496,0.218608,18.22464,2590.936843,3264.030275,-93.8,-91,-91,23,-93.8,CONNECTED,22.3,TMobile,uplink,NSA+LTE,5026.23819,5699.331622,5699.82072,4335.9678,0,0.10368,4.19
1/24/21 18:31,0.311285333,24.1344,0.429144,28.929768,0.24832,18.0288,2536.006693,2480.867965,-91,-91,-91,23,-91,NOT_RESTRICTED,23,TMobile,uplink,NSA+LTE,4971.30804,4916.169312,4916.40968,4506.4917,0.49664,35.95392,22
1/24/21 18:31,0.343733333,23.9616,0.367104,27.0576,0.5156,35.89056,2512.629013,2422.822711,-91,-91,-91,23,-91,CONNECTED,23,TMobile,uplink,NSA+LTE,4947.93036,4858.124058,4858.06362,4907.4633,0.53456,35.8272,56.6
1/24/21 18:31,0.337216,26.97984,0.386552,29.19168,0.197984,18.64512,2314.806493,2946.355691,-91.4,-91,-91,27,-91.4,CONNECTED,26.4,TMobile,uplink,NSA+LTE,4750.10784,5381.657038,5378.96426,3963.4785,0.281152,23.29344,48.3
1/24/21 18:31,0.265386667,22.35648,0.35296,27.67968,0.340672,26.53632,2296.237513,1762.337561,-91,-91,-91,27,-91,NOT_RESTRICTED,27,TMobile,uplink,NSA+LTE,4731.53886,4197.638908,4198.773215,4807.2204,0.400192,29.7792,25.5
1/24/21 13:56,0.583733333,63.941152,0.573416,61.861336,0.583872,63.968144,2396.522306,3107.407146,-91,-91,-91,0,-91,CONNECTED,-0.1,TMobile,uplink,NSA+LTE,4737.9199,5448.80474,5449.29122,4568.755,0.487968,59.918176,52.5
1/24/21 13:56,0.586709333,64.99784533,0.585896,64.720176,0.540176,63.487712,2349.811206,2683.93969,-91.1,-91,-91,0,-91.1,CONNECTED,-0.9,TMobile,uplink,NSA+LTE,4691.2088,5025.337284,5025.38484,4356.2288,0.592384,67.057248,65
1/24/21 14:02,0.554954667,37.13664,0.526144,35.57952,0.376864,30.24576,1990.173046,1879.828159,-91,-91,-91,23,-91,CONNECTED,23,TMobile,uplink,NSA+LTE,4331.57064,4221.225753,4219.772655,4251.8025,0.753728,60.27264,53.5
1/24/21 13:08,0.561914667,60.25767467,0.574732,60.464616,0.508616,59.030592,2735.110559,3337.727663,-91.2,-91,-91,-3,-91.2,CONNECTED,-3,TMobile,uplink,NSA+LTE,5092.3831,5695.000204,5695.39094,4957.673,0.437328,54.544608,55.6
1/24/21 13:08,0.543050667,57.01927467,0.537912,57.709472,0.504864,55.064336,2608.822159,3156.656747,-91.4,-91,-91,-2,-91.4,CONNECTED,-2.4,TMobile,uplink,NSA+LTE,4966.0947,5513.929288,5515.142068,5206.243,0.518592,55.058784,56.6
